262,1604,TACTIC,,160
263,1605,TAMAHU,,160
264,1606,SAN MIGUEL TUCURU,,160
265,1607,PANZOS,,160
266,1608,SENAHU,,160
267,1609,SAN PEDRO CARCHA,,160
268,1610,SAN JUAN CHAMELCO,,160
269,1611,SAN AGUSTIN LANQUIN,,160
270,1612,SANTA MARIA CAHABON,,160
271,1613,CHISEC,,160
272,1614,CHAHAL,,160
273,1615,FRAN BARTOLOME DE LAS CASAS,,160
274,1616,SANTA CATARINA LA TINTA,,160
275,1617,RAXRUHA,,160
276,1701,FLORES,,170
277,1702,SAN JOSE,,170
278,1703,SAN BENITO,,170
279,1704,SAN ANDRES,,170
280,1705,LA LIBERTAD,,170
281,1706,SAN FRANCISCO,,170
282,1707,SANTA ANA,,170
283,1708,DOLORES,,170
284,1709,SAN LUIS,,170
285,1710,SAYAXCHE,,170
286,1711,MELCHOR DE MENCOS,,170
287,1712,POPTUN,,170
288,1713,LAS CRUCES,,170
289,1714,EL CHAL,,170
290,1801,PUETO BARRIOS,,180
291,1802,LIVINGSTON,,180
292,1803,EL ESTOR,,180
293,1804,MORALES,,180
294,1805,LOS AMATES,,180
295,1901,ZACAPA,,190
296,1902,ESTANZUELA,,190
297,1903,RIO HONDO,,190
298,1904,GUALAN,,190
299,1905,TECULUTAN,,190
300,1906,USUMATLAN,,190
301,1907,CABAÑAS,,190
302,1908,SAN DIEGO,,190
303,1909,LA UNION,,190
304,1910,HUITE,,190
305,1911,SAN JORGE,,190
306,2001,CHIQUIMULA,,200
307,2002,SAN JOSE LA ARADA,,200
308,2003,SAN JUAN ERMITA,,200
309,2004,JOCOTAN,,200
310,2005,CAMOTAN,,200
311,2006,OLOPA,,200
312,2007,ESQUIPULAS,,200
313,2008,CONCEPCION LAS MINAS,,200
314,2009,QUEZALTEPEQUE,,200
315,2010,SAN JACINTO,,200
316,2011,IPALA,,200
317,2101,JALAPA,,210
318,2102,SAN PEDRO PINULA,,210
319,2103,SAN LUIS JILOTEPEQUE,,210
320,2104,SAN MANUEL CHAPARRON,,210
321,2105,SAN CARLOS ALZATATE,,210
322,2106,MONJAS,,210
323,2107,MATAQUESCUINTLA,,210
324,2201,JUTIAPA,,220
325,2202,EL PROGRESO,,220
326,2203,SANTA CATARINA MITA ,,220
327,2204,AGUA BLANCA,,220
328,2205,ASUNCION MITA,,220
329,2206,YUPILTEPEQUE,,220
330,2207,ATESCATEMPA,,220
331,2208,JEREZ,,220
332,2209,EL ADELANTO,,220
333,2210,ZAPOTITLAN,,220
334,2211,COMAPA,,220
335,2212,JALPATAGUA,,220
336,2213,CONGUACO,,220
337,2214,MOYUTA,,220
338,2215,PASACO,,220
339,2216,SAN JOSE ACATEMPA,,220
340,2217,QUESADA,,220
